temperature,pressure,humidity,power_output
25.3,101.2,45.2,480.5
26.1,101.5,47.8,485.2
24.8,100.9,44.1,478.9
27.5,102.1,51.3,492.7
23.9,100.5,42.5,475.1
28.2,102.8,54.6,498.3
22.7,99.8,39.7,468.9
29.1,103.5,58.2,505.6
21.5,98.9,36.4,461.2
30.3,104.2,62.1,513.4
25.7,101.6,46.8,483.7
26.8,101.9,49.5,489.1
24.2,100.7,43.3,477.4
27.9,102.5,53.1,495.8
23.4,100.2,41.2,473.6
28.8,103.2,56.9,502.1
22.1,99.5,38.1,466.3
29.7,103.9,60.5,509.7
21.9,99.2,37.6,463.8
30.1,104.1,61.8,512.5
25.1,101.1,44.9,479.8
26.5,101.7,48.6,487.3
24.5,100.8,43.7,478.1
27.2,102.3,52.4,494.2
23.7,100.4,42.1,474.7
28.5,103.1,55.7,500.4
22.4,99.6,38.9,467.5
29.4,103.7,59.3,507.8
21.7,99.1,37.2,462.9
30.5,104.4,62.8,514.6
