longitude,latitude,elevation,rainfall,vegetation_index
-122.5,37.5,125.3,850.2,0.65
-122.4,37.5,138.7,865.5,0.68
-122.3,37.5,152.1,881.3,0.71
-122.2,37.5,165.8,897.8,0.74
-122.1,37.5,178.2,913.5,0.76
-122.5,37.6,145.8,870.8,0.70
-122.4,37.6,162.3,888.2,0.73
-122.3,37.6,178.9,906.1,0.77
-122.2,37.6,195.4,924.5,0.80
-122.1,37.6,210.3,941.8,0.83
-122.5,37.7,168.5,893.5,0.75
-122.4,37.7,188.2,913.6,0.79
-122.3,37.7,208.1,934.2,0.83
-122.2,37.7,227.8,954.9,0.87
-122.1,37.7,245.7,974.2,0.90
-122.5,37.8,193.7,918.9,0.81
-122.4,37.8,216.5,941.8,0.85
-122.3,37.8,239.4,964.9,0.89
-122.2,37.8,262.1,987.8,0.93
-122.1,37.8,283.2,1009.1,0.96
-122.5,37.9,220.8,946.2,0.87
-122.4,37.9,246.9,972.1,0.91
-122.3,37.9,273.0,998.1,0.95
-122.2,37.9,298.7,1023.5,0.98
-122.1,37.9,322.5,1047.2,1.00
-122.5,38.0,249.3,975.5,0.92
-122.4,38.0,278.8,1004.6,0.96
-122.3,38.0,308.2,1033.7,0.99
-122.2,38.0,336.9,1061.9,1.02
-122.1,38.0,363.8,1088.1,1.05
